Date,Close/Last,Volume,Open,High,Low
02/22/2019,121.57,6324560,121.47,121.945,121.42
02/21/2019,120.85,7382541,121.07,121.16,120.70
02/20/2019,121.94,4455812,121.95,122.08,121.59
02/19/2019,122.29,5872819,122.42,122.54,121.95
02/15/2019,121.98,5291444,121.56,122.02,121.54
02/14/2019,121.79,5868868,122.14,122.20,121.58
02/13/2019,121.10,4757077,121.15,121.39,120.91
02/12/2019,121.555,7938341,121.66,121.75,121.20
02/11/2019,121.87,4352804,121.86,122.18,121.75
02/08/2019,122.35,5885426,122.26,122.47,122.07
02/07/2019,121.83,8780298,121.46,121.91,121.23
02/06/2019,121.03,5184006,121.36,121.41,120.73
02/05/2019,120.97,6982859,120.73,121.23,120.66
02/04/2019,120.42,8966230,120.44,120.55,120.02
02/01/2019,120.96,12022520,121.48,121.57,120.8446
01/31/2019,121.97,11693170,121.55,122.18,121.50
01/30/2019,120.93,10566290,120.84,120.98,120.33
01/29/2019,121.02,5749977,120.53,121.04,120.39
01/28/2019,120.41,6428577,120.54,120.94,120.41
01/25/2019,120.53,6457755,120.59,120.75,120.32
01/24/2019,121.11,6121463,120.91,121.26,120.71
01/23/2019,120.32,5776782,119.88,120.62,119.83
01/22/2019,120.37,8880922,120.31,120.72,120.07
01/18/2019,119.56,14106400,119.84,120.12,119.385
01/17/2019,120.19,8153350,120.22,120.53,119.89
01/16/2019,120.16,6047286,119.59,120.39,119.51
01/15/2019,120.04,8995852,120.56,120.57,119.95
01/14/2019,120.48,6730521,120.90,121.01,120.2416
01/11/2019,120.93,5786929,120.83,121.27,120.68
01/10/2019,120.46,8220549,121.28,121.41,120.34
01/09/2019,121.24,9349195,121.26,121.43,120.795
01/08/2019,121.43,7646681,121.69,121.94,121.39
01/07/2019,121.75,8496807,122.62,122.65,121.62
01/04/2019,122.11,12970080,122.34,122.56,121.65
01/03/2019,123.54,21186470,122.29,123.86,122.2267
01/02/2019,122.15,19801690,121.66,122.16,121.3401
12/31/2018,121.51,17319970,120.65,121.56,120.46
12/28/2018,121.05,9879003,120.40,121.05,120.29
12/27/2018,120.04,12146400,121.26,121.38,119.98
12/26/2018,120.02,11636990,120.99,121.39,119.97
12/24/2018,121.32,8377482,121.13,121.42,120.91
12/21/2018,120.72,9829383,121.14,121.21,120.39
12/20/2018,120.74,18542770,122.01,122.03,120.67
12/19/2018,121.18,23042710,120.11,121.66,119.92
12/18/2018,119.60,10018730,119.07,119.785,118.94
12/17/2018,119.17,9726231,118.59,119.30,118.58
12/14/2018,118.48,8167695,118.55,118.77,118.22
12/13/2018,118.07,5564228,118.46,118.58,117.98
12/12/2018,118.35,6182206,118.58,118.72,118.24
12/11/2018,118.88,8071701,118.97,119.38,118.61
12/10/2018,118.90,8777528,118.87,119.28,118.44
12/07/2018,118.41,8608169,117.81,118.53,117.52
12/06/2018,118.19,15318650,118.54,119.20,118.13
